,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PACE, RATINGS, EFFICIENCY",,,,,,,,,,,SHOOTING FREQUENCY AND EFFICIENCY,,,,,,,,,,,PLAYMAKING,,,,,,,REBOUNDS,,,,,,,,,DEF. EFFORTS,,FOULS,,ADVANCED METRICS,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER ON,,,,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER OFF,,,,,,,,,,,,TEAM AND OPPONENT STATS - ON-OFF DIFFERENCE,,,,,,,,,,,
Arnaldo Toro Barea,Puerto Rico,5,3,2,60%,"4,8","0,8","0,4",1,40%,0,0,-,"0,4",1,40%,0,0,-,"1,2","1,4","2,6","1,2","0,2",0,0,0,"0,4",0,"3,4",2,"1,2",3%,"0,67","119,7","112,2","7,5","161,8","111,6","50,2",40%,40%,33%,0,50%,"1,33",0%,-,0%,-,0%,-,-,17%,6%,3%,16%,0%,50%,6,"6,30%","13,20%","1,70%","0,00%","8,00%","11,60%","4,40%","0,00%","7,10%","0,00%","0,00%",1,0,"20,2","0,1","0,1","0,2","0,337","-5,2","-0,2","-5,4","-0,2","78,6","119,7","112,2","7,5",60%,31%,14%,15%,58%,28%,13%,10%,"79,8",100,"110,7","-10,7",54%,27%,17%,5%,59%,25%,16%,7%,"-1,2","19,7","1,5","18,2",6%,4%,-3%,9%,-2%,3%,-3%,3%
Tremont Waters,Puerto Rico,5,3,2,60%,"35,2",20,3,"6,2",48%,"3,6","9,6",38%,"6,6","15,8",42%,"3,2","3,6",89%,"0,4","3,6",4,"9,2","5,2","2,6",0,0,"3,2",0,"17,8","-3,6","22,6",41%,"0,88","103,2","113,1","-9,9","115,3",99,"16,3",53%,57%,3%,0,15%,"1,18",10%,"0,91",2%,0,41%,"1,17",7%,23%,65%,67%,76%,22%,29%,"1,8","1,60%","0,00%","3,00%","0,00%","15,70%","10,80%","22,40%","0,00%","8,40%","5,30%","0,00%","6,6",0,19,"0,4","0,3","0,7","0,159","12,1","-1,1",11,"6,2","76,8","103,2","113,1","-9,9",56%,23%,17%,6%,60%,27%,16%,7%,"83,4","119,2","108,8","10,4",59%,38%,14%,16%,57%,25%,13%,11%,"-6,6",-16,"4,3","-20,3",-3%,-15%,3%,-10%,3%,2%,3%,-4%
Ethan Thompson,Puerto Rico,5,3,2,60%,"1,2",0,0,"0,2",0%,0,"0,4",0%,0,"0,6",0%,0,0,-,"0,2",0,"0,2","0,2",0,"0,2",0,0,"0,2",0,"-0,2",-3,"0,6",20%,0,"53,8","169,2","-115,4","39,4","144,4",-105,0%,0%,33%,0,0%,-,0%,-,33%,0,33%,0,-,0%,33%,100%,0%,0%,25%,"0,2","9,10%","20,00%","0,00%",-,"0,00%","0,00%","0,00%",-,"6,70%","7,70%","0,00%","7,7",0,"-2,5",0,0,"-0,1","-0,43","3,4","0,2","3,6","0,1","81,7","53,8","169,2","-115,4",25%,18%,7%,7%,85%,25%,7%,7%,"79,1","111,2","109,5","1,7",58%,30%,16%,10%,58%,26%,15%,9%,"2,5","-57,3","59,7","-117,1",-33%,-11%,-9%,-3%,27%,-1%,-8%,-2%
Patrick Lima,Cape Verde,5,1,4,20%,"19,2","5,8","1,6","1,8",89%,"0,6",2,30%,"2,2","3,8",58%,"0,8","0,8",100%,0,"1,6","1,6",1,"1,8","0,6","0,4",0,"2,4",0,"3,6","-11,4",6,15%,"0,97","89,7","121,7","-32,1","88,7","114,4","-25,7",66%,69%,20%,2,7%,2,3%,0,13%,"1,5",20%,"0,5",7%,30%,8%,11%,8%,0%,14%,"0,6","0,00%","0,00%","0,00%","0,00%","11,10%","6,70%","12,50%","12,50%","4,80%","1,70%","1,40%","6,9",0,"9,6","-0,1",0,0,"-0,016","-5,3","0,8","-4,5","-0,7","77,6","89,7","121,7","-32,1",47%,25%,17%,7%,66%,26%,16%,12%,"78,3","97,2","101,9","-4,6",49%,35%,15%,13%,54%,27%,17%,9%,"-0,8","-7,6","19,9","-27,4",-2%,-10%,1%,-6%,11%,-1%,0%,3%
Shane Da Rosa,Cape Verde,5,1,4,20%,17,"4,6","0,8","3,6",22%,"0,8","2,4",33%,"1,6",6,27%,"0,6","0,8",75%,"0,2","0,6","0,8","2,6","0,2","0,4",0,0,"0,4",0,"3,2","-1,6","6,4",14%,"0,72","103,1",104,"-0,9","104,2","105,1","-0,9",33%,37%,6%,0,13%,1,38%,"0,33",3%,0,31%,"1,2",3%,3%,15%,15%,29%,9%,29%,13,"0,90%","1,80%","0,00%","0,00%","3,10%","4,00%","1,90%","0,00%","1,90%","1,00%","0,00%",1,0,"10,9",0,"0,2","0,2","0,085","-5,7","-3,6","-9,3","-1,7","75,1","103,1",104,"-0,9",51%,26%,12%,13%,54%,30%,16%,11%,"81,1","84,6",118,"-33,4",46%,36%,20%,7%,66%,23%,17%,9%,-6,"18,5",-14,"32,5",4%,-9%,-9%,7%,-11%,6%,-1%,2%
Ivan Almeida,Cape Verde,5,1,4,20%,"28,2","11,6","2,8","4,8",58%,"0,8","3,8",21%,"3,6","8,6",42%,"3,6","4,8",75%,1,"3,4","4,4","3,6","3,4","1,6",0,0,"3,4",0,"8,2","-7,8","14,2",24%,"0,82",92,"109,8","-17,8","101,3","101,6","-0,3",47%,54%,11%,"1,75",10%,"1,43",13%,"0,44",1%,3,25%,"0,5",15%,24%,20%,16%,47%,12%,20%,"1,1","3,70%","4,60%","2,90%","0,00%","14,00%","3,30%","18,80%","18,20%","8,60%","3,10%","0,00%","6,6",0,"15,6",0,"0,2","0,3","0,072","-2,6","0,2","-2,4","-0,2","79,8",92,"109,8","-17,8",49%,29%,18%,10%,58%,25%,15%,9%,"74,6","97,6","112,7",-15,47%,34%,11%,11%,63%,33%,20%,12%,"5,2","-5,6","-2,9","-2,7",2%,-6%,7%,-1%,-6%,-8%,-5%,-3%
Fidel Mendonca,Cape Verde,5,1,4,20%,9,"1,4",0,0,-,"0,4",2,20%,"0,4",2,20%,"0,2","0,4",50%,"0,2","0,4","0,6","0,6","0,2","0,6",0,0,1,0,"0,2","-0,8","2,4",12%,"0,58","98,9","104,7","-5,8","86,8","101,2","-14,4",30%,32%,0%,-,0%,-,0%,-,25%,1,58%,"0,43",8%,8%,8%,0%,33%,8%,20%,3,"1,90%","4,30%","0,00%","0,00%","5,60%","9,50%","0,00%","0,00%","3,40%","3,50%","0,00%","5,8",0,"4,3",0,"0,1",0,"0,039","-5,3","0,3",-5,"-0,4",77,"98,9","104,7","-5,8",48%,27%,11%,17%,62%,22%,22%,10%,"78,3","92,4","112,5","-20,1",49%,32%,17%,8%,59%,28%,15%,11%,"-1,3","6,4","-7,8","14,3",-1%,-5%,-7%,9%,3%,-6%,7%,-1%
Anderson Correia,Cape Verde,5,1,4,20%,"14,8","6,2","2,4","4,6",52%,"0,4","2,8",14%,"2,8","7,4",38%,"0,2",1,20%,"1,2","1,4","2,6","0,6","1,2","0,6","0,2",0,"2,8",0,"0,8","-1,2",9,20%,"0,69","97,9","101,6","-3,7","68,1","99,7","-31,7",41%,40%,38%,"1,06",13%,1,0%,-,9%,0,22%,"0,6",4%,13%,4%,7%,0%,0%,6%,"0,5","5,80%","7,80%","3,60%","0,00%","7,10%","2,50%","7,90%","0,00%","6,40%","1,60%","0,60%","7,3",0,"6,3","-0,3","0,2","-0,1","-0,044",-8,"-1,5","-9,5","-1,5","77,5","97,9","101,6","-3,7",50%,30%,16%,11%,54%,25%,17%,9%,"78,5","89,9","119,6","-29,7",47%,32%,16%,9%,65%,29%,16%,12%,-1,8,-18,26,3%,-2%,-1%,2%,-11%,-4%,0%,-3%
Joel Almeida,Cape Verde,5,1,4,20%,"9,8",2,"0,4",1,40%,"0,2","2,2",9%,"0,6","3,2",19%,"0,6","0,8",75%,0,"0,6","0,6",0,"0,4",0,0,0,"1,8",0,"-2,4","-3,2",4,18%,"0,5","98,9","111,2","-12,3","45,3","114,6","-69,3",22%,28%,15%,0,5%,2,5%,2,25%,0,30%,"0,5",10%,10%,0%,0%,0%,0%,0%,0,"0,00%","0,00%","0,00%","0,00%","9,10%","10,00%","7,70%","0,00%","3,40%","0,00%","0,00%","9,2",0,"-11,2","-0,2",0,"-0,2","-0,158","-12,3","-4,7","-16,9",-2,77,"98,9","111,2","-12,3",49%,29%,14%,6%,63%,27%,20%,13%,"78,3","92,2","110,6","-18,4",48%,32%,17%,11%,58%,27%,16%,9%,"-1,4","6,7","0,6","6,1",1%,-2%,-3%,-5%,5%,0%,4%,4%
Kenneti Mendes,Cape Verde,5,1,4,20%,"16,8","5,8","2,6","4,6",57%,0,"0,4",0%,"2,6",5,52%,"0,6","1,2",50%,"1,4","1,6",3,"1,6","0,4","0,4","0,2",0,"1,4",0,"6,2","-8,2",6,14%,"0,97","97,8","116,7","-18,9","105,6","112,2","-6,6",52%,52%,43%,"1,08",27%,"1,25",7%,1,3%,0,3%,0,10%,7%,12%,20%,0%,0%,21%,4,"6,80%","8,60%","4,20%","0,00%","10,10%","13,50%","7,30%","0,00%","8,20%","1,10%","0,60%","3,8",0,20,0,"0,1","0,1","0,046","-3,2","-0,5","-3,7","-0,4","75,9","97,8","116,7","-18,9",49%,27%,13%,9%,61%,28%,14%,12%,"79,9","90,5","105,4","-14,9",48%,34%,18%,11%,58%,26%,19%,9%,"-4,1","7,3","11,3",-4,1%,-7%,-5%,-2%,2%,2%,-5%,3%
Will Tavares,Cape Verde,5,1,4,20%,"21,6","10,2","3,4","6,4",53%,"0,8","2,8",29%,"4,2","9,2",46%,1,"1,6",63%,"0,8",2,"2,8",2,"1,8",1,0,0,"1,4",0,"7,2","-12,2","11,8",28%,"0,86","83,9","120,5","-36,6","104,3","112,4","-8,1",50%,51%,27%,"1,25",17%,1,10%,"0,67",2%,0,22%,"0,92",7%,15%,21%,26%,33%,0%,14%,"1,1","4,20%","4,30%","4,20%","0,00%","13,70%","5,90%","16,70%","0,00%","8,30%","2,80%","0,00%",4,0,"19,5",0,"0,1","0,1","0,039","-0,2","-1,2","-1,4","0,2","81,3","83,9","120,5","-36,6",45%,31%,21%,7%,66%,22%,17%,10%,"75,4","102,4","102,8","-0,4",51%,31%,12%,12%,54%,31%,16%,11%,"5,9","-18,5","17,7","-36,1",-5%,-1%,9%,-5%,12%,-9%,0%,-1%
Kevin Coronel,Cape Verde,5,1,4,20%,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,"-8,4","0,2","-8,2",0,-,-,-,-,-,-,-,-,-,-,-,-,78,"93,8","110,8","-16,9",48%,31%,16%,10%,60%,27%,17%,10%,-78,"-93,8","-110,8","16,9",-48%,-31%,-16%,-10%,-60%,-27%,-17%,-10%
Keven Gomes,Cape Verde,5,1,4,20%,"10,4","3,4","1,6","2,6",62%,0,0,-,"1,6","2,6",62%,"0,2","0,4",50%,"1,6",1,"2,6","0,2","0,2",1,"0,4",0,"1,4",0,"4,8",-4,3,11%,"1,13","107,8","114,3","-6,5","117,2","105,9","11,3",62%,61%,53%,"1,75",13%,1,20%,0,0%,-,0%,-,7%,7%,2%,4%,0%,0%,6%,1,"11,90%","16,70%","3,00%","16,70%","11,40%","17,40%","5,30%","0,00%","11,70%","4,00%","2,10%","5,6",0,28,"0,1","0,1","0,1","0,109","-3,5",3,"-0,5","0,2","75,9","107,8","114,3","-6,5",53%,25%,12%,10%,64%,27%,18%,13%,"78,9",88,"109,1","-21,1",46%,33%,18%,10%,58%,27%,16%,9%,-3,"19,8","5,2","14,6",7%,-8%,-5%,0%,6%,0%,2%,4%
Betinho Gomes,Cape Verde,5,1,4,20%,"23,8",13,2,"4,6",43%,"2,2",6,37%,"4,2","10,6",40%,"2,4","3,4",71%,"1,2","2,2","3,4",1,"1,2","0,4","0,2",0,2,0,"7,4","-6,4","13,4",30%,"0,97","87,7","106,3","-18,6","92,5","103,1","-10,6",50%,53%,18%,"0,83",10%,"1,14",6%,"0,5",4%,0,40%,"1,22",12%,9%,9%,6%,20%,13%,7%,"0,8","5,80%","7,00%","5,50%","0,00%","11,80%","10,20%","7,70%","18,20%","8,70%","1,00%","0,60%","5,2",0,"20,4","-0,1","0,2","0,1","0,018","1,1","-3,3","-2,2","-0,1","79,7","87,7","106,3","-18,6",47%,28%,19%,11%,58%,24%,18%,8%,"76,4",100,"115,1","-15,1",50%,33%,13%,9%,61%,31%,15%,12%,"3,3","-12,3","-8,8","-3,5",-3%,-5%,5%,2%,-3%,-7%,3%,-4%
Edy Tavares,Cape Verde,5,1,4,20%,"29,6","9,2",3,"8,2",37%,0,0,-,3,"8,2",37%,"3,2","4,6",70%,"4,4",8,"12,4","3,2",3,1,"1,8",0,"3,2",0,"14,8","-9,2","13,2",21%,"0,7",88,"109,1","-21,1","91,7","94,1","-2,4",37%,45%,32%,"1,05",20%,"0,31",11%,"0,57",0%,-,0%,-,15%,23%,18%,17%,26%,11%,20%,"1,1","15,00%","20,00%","9,50%","9,10%","30,30%","34,80%","22,40%","0,00%","22,20%","1,90%","4,00%","6,1",0,"21,5","-0,1","0,4","0,2","0,059","-4,1","4,1",0,"0,8","78,9",88,"109,1","-21,1",46%,29%,18%,10%,58%,25%,16%,9%,"75,9","107,8","114,3","-6,5",53%,34%,12%,10%,64%,34%,18%,13%,3,"-19,8","-5,2","-14,6",-7%,-5%,5%,0%,-6%,-9%,-2%,-4%
Rati Andronikashvili,Georgia,5,2,3,40%,"24,2","6,4","2,2","4,6",48%,"0,2","2,4",8%,"2,4",7,34%,"1,4","1,4",100%,0,"2,4","2,4",4,"2,2",1,"0,2",0,"2,4",0,"4,8","-0,6","9,6",21%,"0,67",98,100,-2,"97,8","93,6","4,2",36%,42%,15%,"0,86",29%,1,2%,2,8%,0,17%,"0,38",6%,23%,26%,31%,40%,0%,29%,"1,8","0,00%","0,00%","0,00%","0,00%","11,40%","10,00%","12,00%","0,00%","5,90%","2,50%","0,60%",6,0,"8,2",0,"0,3","0,2","0,081","-4,9","0,3","-4,6","-0,9","78,9",98,100,-2,53%,27%,18%,8%,53%,22%,16%,9%,"76,2","97,3","111,9","-14,6",57%,31%,21%,11%,57%,33%,14%,12%,"2,7","0,7","-11,9","12,6",-4%,-4%,-3%,-3%,-3%,-11%,2%,-3%
Alexander Mamukelashvili,Georgia,5,2,3,40%,"28,6","12,8",4,"8,4",48%,1,"2,8",36%,5,"11,2",45%,"1,8","1,8",100%,2,"4,2","6,2",2,"3,6","0,4","0,2",0,"2,8",0,9,"-1,6","15,2",27%,"0,84","96,9","102,4","-5,5","85,3","97,3","-12,1",49%,55%,21%,"1,38",20%,"0,8",14%,"0,55",1%,3,17%,"0,92",3%,24%,11%,14%,6%,9%,12%,"0,6","8,80%","7,80%","9,00%","0,00%","15,90%","12,70%","13,40%","13,30%","12,60%","0,80%","0,50%","5,5",0,"13,1","-0,3","0,3",0,"0,013","-4,7","0,6","-4,2","-0,9","76,3","96,9","102,4","-5,5",55%,23%,20%,9%,53%,24%,15%,10%,"80,3","99,2","112,1","-12,9",54%,38%,19%,12%,58%,32%,16%,11%,"-3,9","-2,3","-9,7","7,4",1%,-15%,1%,-3%,-5%,-8%,-1%,-1%
Kakhaber Jintcharadze,Georgia,5,2,3,40%,20,"3,6","0,8","1,6",50%,"0,6","1,2",50%,"1,4","2,8",50%,"0,2","0,2",100%,"1,6","2,4",4,"0,8",1,"0,6",0,0,3,0,"3,6","-3,6","3,8",7%,"0,95","103,2","109,4","-6,2","100,4",105,"-4,6",61%,64%,21%,1,21%,1,0%,-,5%,0,26%,"1,8",0%,26%,4%,4%,0%,4%,17%,"0,8","7,00%","9,80%","3,50%","0,00%","9,20%","10,30%","6,90%","0,00%","8,20%","1,20%","0,00%","5,9",0,"8,6",0,"0,2","0,2","0,077","-3,9","2,9",-1,"0,3","75,7","103,2","109,4","-6,2",56%,23%,17%,9%,57%,25%,15%,11%,"81,5","87,4","98,5","-11,1",51%,38%,25%,12%,51%,31%,16%,9%,"-5,8","15,8",11,"4,8",5%,-15%,-8%,-3%,6%,-7%,-1%,1%
Luka Liklikadze,Georgia,5,2,3,40%,"3,6","1,2","0,2","0,4",50%,"0,2","0,4",50%,"0,4","0,8",50%,"0,2","0,4",50%,"0,2","0,4","0,6","0,2","0,2","0,2",0,0,1,0,"0,4","-3,6","1,2",8%,1,"92,4","119,7","-27,3","119,4",111,"8,4",63%,60%,33%,1,0%,-,0%,-,17%,0,17%,3,17%,17%,4%,11%,0%,0%,14%,1,"4,30%","0,00%","7,10%",-,"5,30%","5,00%","6,30%","0,00%","4,90%","1,50%","0,00%","7,6",0,"10,1",0,0,"0,1","0,128","-4,4","1,8","-2,6",0,"78,3","92,4","119,7","-27,3",58%,26%,26%,17%,56%,34%,11%,8%,"77,5","98,8","102,8","-4,1",54%,29%,18%,8%,55%,25%,16%,11%,"0,9","-6,3","16,9","-23,2",3%,-3%,8%,8%,2%,9%,-5%,-3%
George Tsintsadze,Georgia,5,2,3,40%,"9,6","3,2","0,4",1,40%,"0,8","1,8",44%,"1,2","2,8",43%,0,0,-,0,"0,6","0,6","2,8","1,6","0,4",0,0,"0,8",0,3,"0,2","4,4",17%,"0,73","97,5","97,5",0,"108,8","95,4","13,4",57%,57%,5%,0,9%,1,9%,1,0%,-,41%,"1,33",-,36%,30%,26%,63%,14%,39%,"1,8","0,00%","0,00%","0,00%","0,00%","4,70%","3,60%","4,30%","0,00%","2,60%","1,70%","0,00%","3,3",0,"13,3","0,1","0,2","0,2","0,173","-4,6","-3,5","-8,1","-0,8","75,8","97,5","97,5",0,55%,21%,19%,6%,52%,19%,14%,14%,"78,4","97,8","109,4","-11,7",54%,32%,20%,11%,56%,31%,15%,9%,"-2,6","-0,2","-11,9","11,7",1%,-11%,-1%,-5%,-5%,-12%,-1%,6%
Giorgi Shermadini,Georgia,5,2,3,40%,"17,4","8,2",3,"5,2",58%,0,0,-,3,"5,2",58%,"2,2","2,2",100%,"1,4","2,8","4,2","0,8",1,"0,6","0,6",0,"1,6",0,"9,6","-6,8","7,2",17%,"1,14","103,1","121,6","-18,4","112,4","111,6","0,8",58%,66%,36%,"1,23",36%,"1,08",0%,-,0%,-,0%,-,14%,14%,6%,5%,17%,0%,10%,"0,8","8,80%","7,80%","10,00%","0,00%","16,30%","12,20%","8,80%","50,00%","12,70%","1,60%","1,90%","4,2",0,"27,2","0,1","0,1","0,2","0,076","-3,1","2,6","-0,5","0,4","80,7","103,1","121,6","-18,4",58%,24%,20%,10%,65%,28%,16%,11%,"74,8","92,4","90,3","2,1",51%,32%,20%,9%,46%,26%,14%,9%,"5,9","10,8","31,3","-20,6",7%,-8%,0%,1%,18%,2%,2%,2%
Duda Sanadze,Georgia,5,2,3,40%,"16,6","5,8","0,8","2,4",33%,1,"3,2",31%,"1,8","5,6",32%,"1,2","1,8",67%,"0,4","0,4","0,8","0,8",1,1,0,0,"1,6",0,"1,4","-3,8","7,2",18%,"0,81","92,7","104,6","-11,9","67,4","99,1","-31,7",41%,45%,11%,1,8%,"1,33",14%,0,19%,"1,71",22%,"0,38",11%,14%,6%,11%,0%,0%,10%,"0,8","2,50%","2,60%","2,40%","0,00%","2,10%","0,00%","4,40%","0,00%","2,30%","2,90%","0,00%","4,6",0,"8,3","-0,3","0,2","-0,1","-0,029","-4,7","0,6","-4,2","-0,5","79,7","92,7","104,6","-11,9",54%,23%,23%,10%,54%,28%,16%,10%,"75,9","101,9","106,7","-4,8",55%,33%,17%,9%,56%,25%,15%,11%,"3,8","-9,2","-2,1","-7,1",-1%,-10%,5%,1%,-2%,3%,1%,-1%
Giorgi Turdziladze,Georgia,5,2,3,40%,2,"1,2","0,6","1,4",43%,0,"0,2",0%,"0,6","1,6",38%,0,0,-,"0,4",0,"0,4",0,"0,2",0,0,0,"0,8",0,"-0,4","0,4","1,8",32%,"0,67","118,2","104,3","13,8","89,5","102,5",-13,38%,38%,56%,"0,8",22%,1,0%,-,0%,-,11%,0,-,11%,0%,0%,0%,0%,0%,0,"16,70%","25,00%","0,00%",-,"0,00%","0,00%","0,00%","0,00%","7,70%","0,00%","0,00%","17,4",0,"-2,4",0,0,0,"0,012","-10,9","-7,3","-18,1","-0,4","84,8","118,2","104,3","13,8",52%,50%,11%,11%,52%,14%,8%,28%,"77,2","96,4","105,8","-9,4",55%,27%,20%,10%,55%,28%,16%,9%,"7,5","21,7","-1,5","23,2",-3%,23%,-10%,1%,-3%,-13%,-8%,19%
Mikheil Berishvili,Georgia,5,2,3,40%,"1,4","0,4",0,0,-,0,0,-,0,0,-,"0,4","0,8",50%,0,0,0,0,0,"0,2",0,0,"0,2",0,0,"-1,8","0,4",13%,1,"86,7","146,7",-60,0,"120,8","-120,8",-,50%,0%,-,0%,-,0%,-,0%,-,0%,-,100%,0%,0%,0%,0%,0%,0%,0,"0,00%","0,00%","0,00%",-,"0,00%","0,00%","0,00%","0,00%","0,00%","6,70%","0,00%","6,7",0,14,0,0,"-0,1","-0,296","-4,2","4,8","0,5",0,"84,9","86,7","146,7",-60,50%,25%,19%,25%,69%,33%,11%,22%,"77,3","98,1","104,1","-5,9",55%,28%,20%,9%,54%,26%,15%,10%,"7,6","-11,5","42,6","-54,1",-5%,-3%,-1%,16%,14%,7%,-4%,12%
Tornike Shengelia,Georgia,5,2,3,40%,"20,6","12,4","3,8",7,54%,"0,4","2,2",18%,"4,2","9,2",46%,"3,6","4,8",75%,"0,4","2,8","3,2",2,"2,2","0,2",0,0,"2,2",0,"7,2",-4,"13,4",32%,"0,93","92,7","104,2","-11,5","95,7","98,8","-3,1",48%,55%,28%,"1,37",10%,"0,57",13%,"0,89",1%,0,13%,"0,67",15%,16%,19%,16%,23%,21%,13%,"0,9","2,40%","4,70%","0,00%","0,00%","13,70%","7,50%","17,00%","10,00%","8,60%","0,50%","0,00%","5,8",0,"17,6","-0,1","0,2","0,1","0,056","-2,3","-1,7",-4,"-0,6","75,9","92,7","104,2","-11,5",54%,21%,21%,11%,53%,28%,15%,10%,"79,4","102,6","107,2","-4,6",55%,35%,18%,8%,57%,25%,15%,11%,"-3,5","-9,8",-3,"-6,9",-1%,-14%,3%,3%,-4%,4%,0%,-1%
Thaddus McFadden,Georgia,5,2,3,40%,"31,4",7,"0,8","1,8",44%,"1,6","6,8",24%,"2,4","8,6",28%,"0,6",1,60%,"0,4","2,2","2,6","4,4","1,2","0,6",0,0,1,0,"5,8","-3,8",10,18%,"0,7","95,1","104,6","-9,5","103,7","100,9","2,8",37%,40%,0%,-,10%,"1,2",8%,"0,5",4%,"1,5",64%,"0,66",2%,12%,24%,24%,38%,16%,31%,"3,7","1,80%","1,70%","0,00%","0,00%","8,70%","8,20%","8,30%","0,00%","5,40%","1,30%","0,00%","2,1",0,"8,7",0,"0,2","0,3","0,072","-1,1","-1,3","-2,3","-0,1","78,6","95,1","104,6","-9,5",53%,25%,20%,10%,55%,27%,16%,9%,76,"102,1","107,6","-5,5",57%,33%,19%,9%,55%,26%,13%,13%,"2,5",-7,-3,-4,-4%,-8%,0%,0%,-1%,1%,3%,-4%
Goga Bitadze,Georgia,5,2,3,40%,"24,4","13,6","3,4","4,4",77%,"0,8","1,8",44%,"4,2","6,2",68%,"4,4","5,6",79%,"1,4","6,4","7,8","1,6",2,"1,6",1,0,"3,6",0,"16,8",1,"10,8",25%,"1,26",99,97,2,"107,3",79,"28,4",74%,76%,24%,"1,85",11%,1,4%,2,0%,-,17%,"1,33",26%,19%,14%,6%,13%,57%,13%,"0,8","8,30%","13,90%","4,30%","0,00%","29,40%","32,00%","16,70%","30,80%","20,20%","4,00%","3,00%","9,1",0,"33,9","0,1","0,4","0,5","0,174",3,"6,2","9,2","3,8",76,99,97,2,57%,23%,21%,10%,51%,22%,15%,9%,"79,4","96,3",115,"-18,7",52%,33%,18%,9%,59%,33%,15%,12%,"-3,4","2,7",-18,"20,7",5%,-11%,3%,1%,-9%,-11%,-1%,-3%
Amin Abu Hawwas,Jordan,5,0,5,0%,20,"4,8","0,6","1,6",38%,"0,6","1,4",43%,"1,2",3,40%,"1,8","2,6",69%,0,2,2,"0,6",1,"0,6",0,0,"2,6",0,"1,8","-10,6","5,2",15%,"0,92","82,3",113,"-30,7","74,2","107,6","-33,4",50%,57%,8%,1,12%,"0,67",12%,"0,67",0%,-,27%,"1,29",23%,19%,6%,7%,14%,0%,10%,"0,6","0,00%","0,00%","0,00%","0,00%","13,90%","11,40%","14,80%","7,10%","6,60%","1,90%","0,00%",8,0,"6,6","-0,2","0,1","-0,1","-0,023",-7,"-0,7","-7,7","-1,5","80,4","82,3",113,"-30,7",49%,15%,21%,15%,59%,22%,13%,10%,"78,5","96,4","115,9","-19,5",52%,28%,18%,9%,60%,38%,17%,11%,"1,9","-14,1","-2,9","-11,2",-3%,-13%,3%,5%,-1%,-16%,-3%,-1%
Freddy Ibrahim,Jordan,5,0,5,0%,"26,8","10,6","1,8",6,30%,"1,6",5,32%,"3,4",11,31%,"2,2","2,8",79%,"0,6","1,8","2,4","4,8","3,4","1,6","0,2",0,"2,8",0,"5,2","-17,4","15,6",37%,"0,68","76,7","118,4","-41,6","78,7","106,1","-27,3",38%,43%,5%,"0,5",24%,"0,84",9%,0,3%,"1,5",29%,"0,91",8%,22%,51%,56%,80%,33%,24%,"1,4","2,70%","1,50%","2,10%","11,10%","11,00%","9,10%","12,10%","7,10%","6,30%","4,10%","0,60%","7,1",0,"11,6","-0,4","0,1","-0,3","-0,087","2,8","-3,5","-0,7","0,5","79,3","76,7","118,4","-41,6",44%,18%,22%,11%,61%,32%,14%,10%,"79,1","103,2","111,5","-8,2",56%,28%,17%,12%,59%,31%,17%,11%,"0,2","-26,5","6,9","-33,4",-11%,-10%,5%,-2%,1%,1%,-3%,-1%
Ahmad Hamarsheh,Jordan,5,0,5,0%,"11,2",1,"0,4","1,6",25%,0,"0,8",0%,"0,4","2,4",17%,"0,2","0,4",50%,"0,8","1,8","2,6","1,2","0,4","0,4",0,0,1,0,"1,6","-10,8",3,8%,"0,33","83,6","112,9","-29,3","77,7","106,5","-28,8",17%,19%,40%,"0,33",13%,1,0%,-,7%,0,20%,0,7%,13%,10%,3%,7%,31%,29%,3,"4,20%","3,50%","2,20%","20,00%","11,30%","15,00%","9,70%","0,00%","7,40%","1,20%","0,00%","2,9",0,"4,7","-0,1","0,1",0,"0,018",-9,"-0,8","-9,8","-1,2","78,4","83,6","112,9","-29,3",45%,23%,18%,9%,57%,33%,15%,11%,"79,8","95,9",116,"-20,1",55%,23%,20%,13%,62%,31%,16%,10%,"-1,4","-12,2",-3,"-9,2",-10%,0%,-3%,-5%,-4%,2%,-1%,1%
Sami Bzai,Jordan,5,0,5,0%,28,"7,6","0,2",1,20%,"2,4","6,2",39%,"2,6","7,2",36%,0,0,-,0,"1,2","1,2","2,2","1,2","1,4","0,2",0,"2,4",0,"4,4","-11,6","8,4",16%,"0,9","96,2","116,2",-20,"80,8","107,9","-27,1",53%,53%,0%,-,5%,0,7%,"0,67",7%,0,67%,"1,29",-,14%,12%,11%,25%,11%,21%,"1,8","0,00%","0,00%","0,00%","0,00%","5,40%","1,70%","10,40%","0,00%","2,50%","2,80%","0,50%","4,9",0,"11,4","-0,2","0,1",0,"-0,01","-4,2","-1,3","-5,5","-1,3","78,1","96,2","116,2",-20,53%,20%,18%,11%,60%,32%,15%,11%,"80,8","83,3","112,6","-29,2",47%,27%,21%,11%,60%,31%,16%,10%,"-2,7","12,9","3,6","9,3",6%,-7%,-3%,0%,0%,0%,-1%,0%
